"Armenia","ARM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","","","","","","100","100","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","88.49502","","","","","","","","97.1601","96.62841","95.43822","96.79651","96.66797","","95.28875","95.65382","","94.9131","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.35458","84.75921","85.00727","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.49575","96.41095","96.02806","96.04933","97.4119","","99.59939","99.75374","99.82849","99.85494","99.90221","99.86545","99.92242","100","100","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","64.03141","62.20542","60.9585","56.19046","55.41764","55.56896","54.57332","53.52611","52.60569","69.78793","69.48978","72.6775","74.68126","74.56687","80.09179","79.67478","80.70568","79.534","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","95.38383","95.50595","95.82802","97.43553","95.94451","96.25498","","","","","","99.51811","","99.32684","99.43563","99.83424","99.72001","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","93.98012","94.31379","94.81454","","95.90861","96.54315","97.07819","97.37162","97.90816","98.29082","98.46553","98.61463","98.78325","98.93037","99.10563","99.22538","99.32621","99.41515","99.54285","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","100","100","100","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.66656","99.61508","99.6098","99.60584","99.64365","99.63435","99.57836","99.46982","99.49713","99.41362","99.3255","99.26673","99.24473","99.2303","99.3685","93.80268","95.01307","95.59691","96.15297","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","","100","100","100","100","100","100","100","","","","","","100","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","100","99.16433","94.68915","94.2665","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","","","","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","87.90653","87.93758","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","","100","100","100","100","100","100","99.45757","99.48722","99.43924","99.47583","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","99.78829","99.91375","99.8519","99.88945","99.91749","100","100","100","100","100","100","","","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","","","100","100","100","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","98.36542","98.36549","","","","100","","97.68657","97.70172","","97.95901","98.75425","","","","97.48466","97.59922","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","","","100","100","100","100","100","100","100.00052","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","99.7688","99.773","99.84754","99.92368","99.91457","99.89004","99.87804","99.67357","99.36725","99.27942","99.21006","99.14653","99.07388","99.01048","98.97216","98.9352","98.62147","98.57406","98.54205","98.78851","98.78506","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","97.87296","97.88913","97.87974","97.84257","97.85614","","","","","","","","","","","","","","","","","","","",
"China","CHN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","","100","100","100","","","99.32703","99.66415","99.74022","99.8063","99.86304","99.93246","99.94738","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","95.39909","","","","","","","","","","","","","","95.4126","95.49254","94.58722","94.83019","95.61738","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.98624","82.31248","82.62598","84.99256","82.55554","82.63651","84.317","","85.02117","84.26736","83.3201","83.31771","83.76989","84.21025","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.07909","97.61739","97.58379","","96.97525","97.6782","97.32603","97.97311","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","90.62773","89.32573","89.59965","87.95736","82.08943","87.6643","87.58284","","","","","","","92.76197","","","","","","","","","","","","","","","","","","","","","","","","",
"Cook Islands","COK","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","","100","100","100","","","","","","","100","","100","100","","","99.92002","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","83.6723","84.69701","83.56576","84.50403","84.22288","","84.88239","84.58663","86.1522","85.65717","85.37801","85.50747","86.05259","85.89668","84.39991","83.43346","82.52691","81.09312","81.16731","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","95.70679","95.83745","95.74418","95.615","95.41647","95.20757","95.36311","95.52025","96.65128","96.5477","95.78915","95.20106","95.68769","95.86451","95.94634","95.91763","95.74672","95.66752","95.10599","95.18403","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","94.86633","95.2034","95.62657","96.99693","98.13001","98.40763","98.62208","98.78875","98.99405","99.02812","99.07456","98.98489","98.81038","98.58264","99.04768","99.10688","99.05847","98.97722","98.80482","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.89123","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","100","100","100","100","100","","","100","100","100","","","","","100","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","98.63671","99.40299","99.99689","99.99764","99.67707","99.66809","99.56055","99.55744","99.34881","99.57673","99.51637","99.5083","99.45848","99.42481","99.41154","99.4883","99.51336","99.57343","99.55034","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","98.87604","98.82272","98.82651","98.86637","99.00414","97.90019","97.42281","97.52915","97.75554","97.87158","97.83025","97.82113","97.13129","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","85.35057","99.59966","100","99.62087","","93.16675","95.32483","100","97.06561","98.94762","99.63955","","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","74.83062","86.7307","88.0898","","90.52187","93.11475","92.86588","94.39024","92.35594","97.16342","91.6271","94.80078","89.72973","","","100","100","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.99262","99.98115","99.98851","99.98681","99.97164","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","100","","100","100","","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","95.02978","94.38318","93.85444","94.48038","95.83924","95.22305","95.39438","95.07703","94.67002","93.84208","95.28564","96.07886","96.01248","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.98894","99.98899","99.989","99.98939","99.98979","99.98978","99.84331","99.40523","99.54303","99.77191","99.82088","99.86392","99.90022","99.94309","99.9521","99.98291","99.98301","99.98451","99.98958","99.98989","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","98.71682","98.5924","98.48926","98.46371","98.45629","98.26963","98.38472","98.50741","98.51083","98.51023","98.38111","98.50989","98.53151","98.59023","98.45786","98.49065","98.47296","98.39104","98.33561","98.34099","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.75384","99.75822","99.765","99.773","99.77917","99.78211","99.64419","99.23189","99.35085","99.56013","99.5993","99.63572","99.6676","99.70181","99.70623","99.72938","99.72345","99.72439","99.75216","99.74801","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.99577","99.99523","99.99523","99.9953","99.99575","99.99557","99.99488","99.99351","99.99401","99.99327","99.99263","99.9925","99.99249","99.99231","99.99348","99.93673","99.95013","99.95679","99.96287","99.96259","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","99.63704","99.64493","99.65834","99.63358","99.59626","99.52921","99.49585","98.74711","98.61349","98.8433","98.80206","99.02405","98.88958","98.8486","98.80244","98.81338","98.36991","98.4794","98.65024","95.94367","95.918","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","98.01442","97.9961","98.0063","97.64494","","","","","98.58933","","100","98.7626","98.5462","98.57704","","98.47695","98.36424","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","98.9022","98.91249","98.96156","98.87039","98.73943","98.54122","98.47223","96.32056","96.13106","96.83598","96.74015","97.39638","97.053","96.96952","96.88168","96.96831","97.41761","97.72734","98.00343","97.80628","97.80769","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","100","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.48064","99.69226","99.66116","99.6579","99.63888","99.66127","99.67445","99.66368","99.65524","99.63897","99.62819","99.62772","99.61793","99.57113","99.57361","100","100","99.31676","99.02272","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","99.79174","99.8769","100","100","100","100","100","100","100","99.95635","99.86903","99.58121","99.49583","99.81532","99.75652","99.67432","99.70817","99.17225","97.82206","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","100","100","","100","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","99.19974","99.21147","99.25495","99.20137","99.10871","98.98669","98.93469","97.40476","97.20172","97.66868","97.5853","98.04019","97.78675","97.71331","97.63116","97.6657","96.66891","96.87217","97.22095","91.8294","91.72193","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","98.68373","99.03564","98.87199","98.91987","98.99474","99.0515","99.12319","99.13386","99.15182","99.1596","99.18824","99.14385","99.18353","99.16291","99.1647","99.17155","99.0929","99.11045","99.15003","99.19799","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","","100","100","100","100","","100","100","100","","100","100","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","98.41082","98.18604","99.85399","99.84654","99.86898","99.87873","99.86119","99.85235","99.85323","100","100","100","100","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","","100","","","","","","","100","100","","","","","","","","","","","","","","","","","","","","","",
"Global Partnership for Education","FTI","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","98.50115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","88.87734","88.70576","90.0245","60.05562","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","","","","","","100","100","","","","","","","100","100","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.71326","","","100","","99.48823","99.50133","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","88.57776","92.05671","","96.45455","","","94.27673","","","","","","100","100","","","100","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","","","100","100","100","100","99.08899","98.96907","98.96521","","","","","","","","","","","","","","","","","","","","",
"Grenada","GRD","Share of female students in lower secondary education enrolled in general programmes (%)","UIS.GTVP.2.GPV.F","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","100","100","96.85175","95.97352","","","100","100","100","100","100","","","","","","","","","","","","","","","","","","","",
